Iteration,Hit Percentage,Head Shot Percentage,Decision
0,0,0,0
1,0.545454545,0.181818182,1
2,0.545454545,0.181818182,1
3,0.5,0.166666667,1
4,0.538461538,0.230769231,1
5,0.538461538,0.230769231,1
6,0.538461538,0.230769231,1
7,0.5,0.214285714,1
8,0.5,0.1875,1
9,0.5,0.222222222,1
10,0.526315789,0.263157895,1
11,0.590909091,0.227272727,1
12,0.625,0.291666667,2
13,0.64,0.32,2
14,0.653846154,0.346153846,2
15,0.655172414,0.310344828,2
16,0.677419355,0.290322581,2
17,0.705882353,0.294117647,2
18,0.714285714,0.314285714,2
19,0.682926829,0.268292683,2
20,0.704545455,0.25,2
21,0.717391304,0.239130435,2
